Locale (BCP-47)	Text-to-speech voices
	en-US-JacobNeural (Male)
	en-US-JaneNeural (Female)
	en-US-JasonNeural (Male)
	en-US-MichelleNeural (Female)
	en-US-MonicaNeural (Female)
	en-US-NancyNeural (Female)
	en-US-RogerNeural (Male)
	en-US-SaraNeural (Female)
	en-US-SteffanNeural (Male)
	en-US-TonyNeural (Male)
	en-US-AIGenerate1Neural1 (Male)
	en-US-AIGenerate2Neural1 (Female)
	en-US-BlueNeural1 (Neutral)
	en-US-JennyMultilingualV2Neural1,3 (Female)
	en-US-RyanMultilingualNeural1,3 (Male)
en-ZA	en-ZA-LeahNeural (Female)
	en-ZA-LukeNeural (Male)
es-AR	es-AR-ElenaNeural (Female)
	es-AR-TomasNeural (Male)
es-BO	es-BO-SofiaNeural (Female)
	es-BO-MarceloNeural (Male)
es-CL	es-CL-CatalinaNeural (Female)
	es-CL-LorenzoNeural (Male)
es-CO	es-CO-SalomeNeural (Female)
	es-CO-GonzaloNeural (Male)
es-CR	es-CR-MariaNeural (Female)
	es-CR-JuanNeural (Male)
es-CU	es-CU-BelkysNeural (Female)
	es-CU-ManuelNeural (Male)
es-DO	es-DO-RamonaNeural (Female)
	es-DO-EmilioNeural (Male)
es-EC	es-EC-AndreaNeural (Female)
	es-EC-LuisNeural (Male)
es-ES	es-ES-ElviraNeural (Female)
	es-ES-AlvaroNeural (Male)
	es-ES-AbrilNeural (Female)
	es-ES-ArnauNeural (Male)
	es-ES-DarioNeural (Male)
	es-ES-EliasNeural (Male)
	es-ES-EstrellaNeural (Female)
	es-ES-IreneNeural (Female)
	es-ES-LaiaNeural (Female)
	es-ES-LiaNeural (Female)
	es-ES-NilNeural (Male)
	es-ES-SaulNeural (Male)
	es-ES-TeoNeural (Male)
	es-ES-TrianaNeural (Female)
	es-ES-VeraNeural (Female)
	es-ES-XimenaNeural (Female)
es-GQ	es-GQ-TeresaNeural (Female)
	es-GQ-JavierNeural (Male)
es-GT	es-GT-MartaNeural (Female)
	es-GT-AndresNeural (Male)
es-HN	es-HN-KarlaNeural (Female)
	es-HN-CarlosNeural (Male)
es-MX	es-MX-DaliaNeural (Female)
	es-MX-JorgeNeural (Male)
	es-MX-BeatrizNeural (Female)
	es-MX-CandelaNeural (Female)
	es-MX-CarlotaNeural (Female)
	es-MX-CecilioNeural (Male)
	es-MX-GerardoNeural (Male)
	es-MX-LarissaNeural (Female)
	es-MX-LibertoNeural (Male)
	es-MX-LucianoNeural (Male)
	es-MX-MarinaNeural (Female)
	es-MX-NuriaNeural (Female)
	es-MX-PelayoNeural (Male)
	es-MX-RenataNeural (Female)
	es-MX-YagoNeural (Male)
es-NI	es-NI-YolandaNeural (Female)
	es-NI-FedericoNeural (Male)
es-PA	es-PA-MargaritaNeural (Female)
	es-PA-RobertoNeural (Male)
es-PE	es-PE-CamilaNeural (Female)
	es-PE-AlexNeural (Male)
es-PR	es-PR-KarinaNeural (Female)
	es-PR-VictorNeural (Male)
es-PY	es-PY-TaniaNeural (Female)
	es-PY-MarioNeural (Male)
es-SV	es-SV-LorenaNeural (Female)
	es-SV-RodrigoNeural (Male)
es-US	es-US-PalomaNeural (Female)
	es-US-AlonsoNeural (Male)
es-UY	es-UY-ValentinaNeural (Female)
	es-UY-MateoNeural (Male)
es-VE	es-VE-PaolaNeural (Female)
